user_id,species,breed,age_months,source,device,weekday,returning_user,discount_seen,campaign_type,session_time,pages_viewed,shelter_rating,distance_km,vet_check_available,neutered,viewed_product,photo_clicks,breed_views,added_to_cart,purchased,abandoned
U00001,dog,Poodle,3-6,email,desktop,Monday,1,0,retargeting,0.94,4,4.0,30.1,0,1,0,0,0,0,0,0
U00002,reptile,Mixed,24+,paid_ad,mobile,Sunday,1,0,retargeting,2.0,3,3.1,23.0,1,1,0,0,0,0,0,0
U00003,cat,Mixed,24+,organic,mobile,Friday,0,1,awareness,7.13,3,3.8,12.4,0,1,1,2,4,0,0,1
U00004,cat,Maine Coon,12-24,organic,tablet,Saturday,0,0,none,1.0,1,4.6,5.6,0,1,1,4,1,0,0,1
U00005,dog,Golden Retriever,6-12,referral,mobile,Thursday,0,1,none,12.49,1,4.5,12.3,1,1,1,2,1,1,1,0
U00006,dog,Beagle,0-3,organic,mobile,Saturday,0,0,awareness,9.98,3,4.6,1.4,1,0,1,2,1,1,1,0
U00007,dog,Poodle,0-3,paid_ad,mobile,Tuesday,0,0,seasonal,2.44,6,3.5,11.7,1,1,1,4,3,1,0,1
U00008,bird,Mixed,6-12,paid_ad,mobile,Monday,0,0,none,0.5,3,3.2,18.0,1,1,0,0,0,0,0,0
U00009,cat,Maine Coon,3-6,paid_ad,desktop,Thursday,1,1,awareness,12.16,6,3.9,38.1,1,1,1,2,1,0,0,1
U00010,cat,Ragdoll,12-24,organic,desktop,Sunday,0,0,seasonal,16.6,6,4.0,19.0,1,1,0,0,0,0,0,0
U00011,dog,Mixed,6-12,paid_ad,mobile,Saturday,1,0,awareness,0.87,3,4.2,4.0,0,1,1,3,2,0,0,1
U00012,reptile,Ball Python,24+,paid_ad,desktop,Friday,0,0,awareness,14.88,2,3.2,1.0,1,1,0,0,0,0,0,0
U00013,rabbit,Lionhead,12-24,email,mobile,Friday,1,0,retargeting,8.59,3,3.1,5.0,0,1,0,0,0,0,0,0
U00014,dog,German Shepherd,6-12,social_media,mobile,Tuesday,1,1,retargeting,2.9,2,4.5,7.6,1,1,1,6,2,0,0,1
U00015,dog,Poodle,12-24,organic,desktop,Sunday,0,0,awareness,12.48,4,4.3,1.0,0,1,1,0,1,0,0,1
U00016,dog,Chihuahua,24+,organic,desktop,Saturday,1,1,seasonal,4.59,3,3.4,43.8,1,0,1,2,0,0,0,1
U00017,dog,Mixed,6-12,social_media,desktop,Saturday,0,1,awareness,6.48,7,4.7,13.2,1,1,0,0,0,0,0,0
U00018,cat,Maine Coon,3-6,email,mobile,Thursday,1,0,retargeting,1.75,2,3.7,43.5,0,1,1,3,0,0,0,1
